,age,g,gs,mp,fg,fga,fg_pct,3p,3pa,3p_pct,2p,2pa,2p_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,per,ts_pct,3par,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp,mp_total,pts_total,trb_total,ast_total,stl_total,blk_total,fg_total,fga_total,ft_total,fta_total,3p_total,3pa_total,tov_total,pf_total,orb_total,drb_total,pts_per36,trb_per36,ast_per36,stl_per36,blk_per36,fg_per36,fga_per36,ft_per36,fta_per36,3p_per36,3pa_per36,tov_per36,pf_per36,orb_per36,drb_per36,fantasy_pts,dd_potential,scoring_efficiency,ft_rate,3p_rate,ast_tov_ratio,stocks,gs_pct,mpg,is_guard,is_forward,is_center,pts_yoy_change,pts_yoy_pct_change,trb_yoy_change,trb_yoy_pct_change,ast_yoy_change,ast_yoy_pct_change,stl_yoy_change,stl_yoy_pct_change,blk_yoy_change,blk_yoy_pct_change,fg_pct_yoy_change,fg_pct_yoy_pct_change,ft_pct_yoy_change,ft_pct_yoy_pct_change,3p_pct_yoy_change,3p_pct_yoy_pct_change,mp_yoy_change,mp_yoy_pct_change,usg_pct_yoy_change,usg_pct_yoy_pct_change,ts_pct_yoy_change,ts_pct_yoy_pct_change,fantasy_pts_yoy_change,fantasy_pts_yoy_pct_change,pts_prev_season,trb_prev_season,ast_prev_season,mp_prev_season,g_prev_season
count,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,1851.0,2522.0,1851.0,2522.0,1851.0,2522.0,1851.0,2522.0,1851.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,2522.0,1851.0,2522.0,2522.0,2522.0,2522.0,2522.0,1851.0,2522.0,1851.0,1851.0,1851.0,1851.0,1851.0
mean,26.05987311657415,55.013877874702615,27.83584456780333,22.776685170499604,3.8492466296590004,8.2949246629659,0.4633314829500396,1.1465107057890562,3.206026962727994,0.32137232355273593,2.703291038858049,5.09020618556701,0.5269770023790643,0.5321923076923076,1.6230769230769229,2.0971054718477395,0.7596724821570181,0.9706185567010309,3.194686756542427,4.159199048374306,2.346074544012688,0.7143933386201428,0.46316415543219674,1.2586439333862014,1.897898493259318,10.466534496431404,2021.5107057890564,13.991911181601905,0.5623096748612213,0.3927684377478192,0.2450785091197462,0.9936954797779539,1.0,1.0,0.9992069785884219,0.9633227597145123,0.8645122918318795,0.999603489294211,1.0,1.477359238699445,1.3355273592386994,2.8128865979381446,0.0915908009516257,-0.6911181601903251,-0.04016653449643141,-0.731126090404441,0.6918318794607454,1317.7656621728786,617.1122125297383,241.1094369547978,137.80253766851706,41.12172878667724,26.480570975416335,226.70935765265662,485.35011895321173,96.06859635210151,123.49206978588421,67.62490087232355,187.30214115781126,72.88501189532117,107.5975416336241,55.60904044409199,185.5003965107058,15.5696774515123,6.630788862353665,3.483390293055965,1.1219946211630967,0.7515447235519499,5.752270087686757,12.476037506182532,2.3432325064265997,3.070702690546654,1.7219047697121888,4.883633516146578,1.9010011713899684,3.1456382152595794,1.6086540929551567,5.022134769398508,22.415237906423474,0.45796986518636,1.2483456105114585,0.2452401576164931,0.3927080343638359,1.890890165255732,1.1775574940523394,0.4603039306450535,22.776685170499604,0.42149088025376685,0.3838223632038065,0.19468675654242665,-0.043111831442463555,0.12845418809757708,-0.0198271204754187,0.11363432204116003,0.05337655321447866,0.1642192264698124,-0.0074554294975688815,0.13884913047255024,0.0008103727714748785,0.1835126244433494,0.016466296590007933,0.039690848368463844,0.029278747026169703,0.04649243396292885,0.023241078509119745,0.08277281337459073,0.05542949756888168,0.10246806913226214,0.2851308485329104,0.04636284657586041,0.01779777954004758,0.03558881905639163,0.030124257158292887,0.11486731827648422,10.974662344678553,4.301026472177202,2.4168557536466775,23.29086980010805,50.886007563479204
std,4.234871534495937,18.20057182796434,26.59823491540858,7.570529121619396,2.238086141991668,4.629155617146737,0.0765025838211915,0.8704898597220957,2.234448515995232,0.11200314034135145,1.8806223581404942,3.4124958843293363,0.07627266550103698,0.06323575493664536,1.4409213141833799,1.7587576379856162,0.1082408495138295,0.7700803429834852,1.759945818210763,2.334377509876817,1.840153975973167,0.36367571340040056,0.41241538987276843,0.7991458555693656,0.6435469388018279,6.270826008623104,1.703557067243364,4.674631078406144,0.05985477315196457,0.2054724500127891,0.12055197732302524,0.052504729121430796,0.0,0.0,0.028155050086434454,0.11102878913371239,0.23987125506803603,0.019912576573338173,0.0,1.8489914071012359,0.9650325804046455,2.568130063148734,0.05952063467933396,2.5260390109424202,1.198730177355249,2.947300353547215,1.3097098304702843,692.5303254647811,456.3782240609282,174.73680530637867,127.20693062343354,26.78025249222269,27.42281764153622,164.23545413444648,342.0502802607875,97.21531967108335,119.64162130774335,60.31269554612984,156.76451940791785,55.92279008057919,55.28903715758508,52.211476554162275,131.8512596098027,4.969641812853762,2.975248190923312,2.0217178454047313,0.43151681214311177,0.6385342273892346,1.7938912557388522,3.5764488094114735,1.4455526783938717,1.7927612550958691,1.043129113152198,2.6601291765217554,0.7765052375066195,1.0118278049974414,1.2353549464841875,1.9883119820122535,11.026718560672784,0.5703380785843447,0.1674196669077906,0.12056744879299762,0.20574878844013111,0.931258533688921,0.5940301160076507,0.3942351668160025,7.570529121619396,0.4938957786604357,0.4864119342505106,0.3960378952743329,3.3127125878423453,0.26143169147565454,1.2759654203309345,0.2444321910574754,0.948012543121037,0.29536061364648214,0.2797268117800164,0.280153602887515,0.25672446523287223,0.3432312666848616,0.03943679076913139,0.10038655610903578,0.06542646550345459,0.114393437790423,0.05677305225389861,0.19940599277129092,5.6054284950152935,0.228899990235876,0.43326221516815583,0.10382799172900618,0.03924765936201592,0.08689492978556099,6.218966885238009,0.2416537031826201,6.423494951031507,2.4507856489576323,1.9632810513905823,8.129646636369136,21.74785416685162
min,19.0,10.0,0.0,10.0,0.2,1.0,0.15,0.0,0.0,0.0,0.1,0.2,0.143,0.2,0.0,0.0,0.0,0.0,0.3,0.6,0.0,0.0,0.0,0.0,0.1,0.6,2019.0,-0.9,0.2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-3.0,-0.5,-1.9,-0.147,-11.0,-3.9,-11.9,-2.0,104.0,8.0,9.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0719424460431655,1.4862385321100917,0.0,0.0,0.0,0.7769784172661871,3.2833876221498373,0.0,0.0,0.0,0.0,0.0,0.2535211267605634,0.0,0.8256880733944955,3.8600000000000003,0.0,0.39999999999999997,0.0,0.0,0.0,0.1,0.0,10.0,0.0,0.0,0.0,-15.4,0.0,-7.5,0.0,-6.1000000000000005,0.0,-2.2,0.0,-1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,0.0,0.0,0.0,0.0,0.0,-25.779999999999998,0.0,0.0,0.0,0.0,2.0,1.0
25%,23.0,43.0,4.0,16.2,2.2,4.7,0.416,0.5,1.6,0.299,1.3,2.6,0.479,0.493,0.7,0.9,0.702,0.4,2.0,2.5,1.0,0.4,0.2,0.7,1.4,5.7,2020.0,10.8,0.528,0.271,0.157,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.2,0.6,0.9,0.054,-2.3,-0.9,-2.6,-0.1,744.5,260.25,113.0,49.0,20.0,9.0,96.0,218.0,31.0,42.0,18.0,59.0,32.0,64.0,21.0,88.0,12.18552926274819,4.390243902439025,1.942791839005177,0.8191827009180599,0.32017788026264515,4.46781462793318,9.864499434899562,1.3236230135618603,1.7847185342538503,0.9996214033316507,3.177944398461464,1.3421423387268923,2.449122927679938,0.6999088699878493,3.569741594887469,13.895,0.0,1.1456762749445677,0.15762436914203315,0.2710591133004926,1.2783333333333333,0.7,0.07936507936507936,16.2,0.0,0.0,0.0,-2.1500000000000004,0.0,-0.7000000000000011,0.0,-0.3999999999999999,0.0,-0.19999999999999996,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3,0.0,0.0,0.0,0.0,0.0,-3.900000000000004,0.0,6.3,2.6,1.0,17.5,33.5
50%,25.0,59.0,18.0,22.4,3.2,7.0,0.45,1.0,2.9,0.3455,2.2,4.1,0.524,0.5305,1.1,1.5,0.775,0.7,2.8,3.6,1.7,0.7,0.4,1.0,1.9,8.8,2022.0,13.3,0.564,0.406,0.229,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,2.2,0.091,-0.9,-0.1,-0.9,0.3,1262.0,507.0,205.0,96.0,37.0,18.0,189.0,407.0,65.0,85.5,53.0,153.0,57.0,104.0,39.0,159.0,14.835674597234261,5.825804820495534,2.8570713933728555,1.0553468708850233,0.5547310775955173,5.514332514332514,11.983511391780372,2.060423512230741,2.733660683718883,1.7286853404211817,4.9848332627246865,1.7689350483166395,2.99010810483702,1.153965476095776,4.535484115550838,19.975,0.0,1.2388059701492538,0.22768252434999595,0.4080290010741139,1.7360681114551084,1.1,0.3333333333333333,22.4,0.0,0.0,0.0,-0.10000000000000009,0.0,-0.09999999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10999999999999943,0.0,9.5,3.8,1.8,24.0,57.0
75%,29.0,69.0,53.0,29.3,5.0,10.9,0.49575,1.7,4.6,0.381,3.6,6.8,0.572,0.568,2.1,2.7,0.833,1.3,3.9,5.2,3.1,0.9,0.6,1.6,2.3,13.7,2023.0,16.7,0.598,0.5347500000000001,0.31174999999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.3,1.9,4.1,0.126,0.7,0.7,0.9,1.1,1889.0,858.75,317.0,186.0,57.0,34.0,318.0,680.0,127.0,164.0,103.0,279.75,99.0,145.0,71.0,246.0,18.370030389957112,8.278483245819043,4.620320855614974,1.3487574838021816,0.9538979447200566,6.849429386313808,14.782486815223072,3.003271832003285,3.925500155488753,2.423724342988682,6.7211392405063295,2.3201649352956273,3.6837561792509814,2.1646341463414633,6.167171159110659,28.805,1.0,1.3333333333333335,0.3113107119095143,0.5333333333333333,2.3333333333333335,1.5,0.9607843137254902,29.3,1.0,1.0,0.0,2.0,0.11589782691574535,0.6999999999999997,0.09356831395348841,0.5,0.2055481283422459,0.19999999999999996,0.14285714285714302,0.1,0.19999999999999996,0.019000000000000017,0.04117892004958157,0.03300000000000003,0.043330279205571864,0.021000000000000005,0.06261748120300747,3.1000000000000014,0.07431954273271646,0.8999999999999986,0.04638321840649967,0.02100000000000002,0.03751611516974651,3.860000000000002,0.10472689469734853,14.5,5.4,3.3,29.9,68.0
max,43.0,84.0,83.0,37.9,11.5,24.5,0.819,5.3,13.2,1.0,11.0,18.7,0.897,0.819,10.2,12.3,1.0,5.4,11.4,13.2,9.0,2.2,3.6,5.0,4.1,35.699999999999996,2024.0,34.1,0.78,0.937,0.971,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.2,5.9,17.0,0.308,9.4,4.6,13.7,10.6,3028.0,2818.0,1232.0,784.0,170.0,254.0,843.0,1909.0,754.0,858.0,378.0,1028.0,387.0,292.0,423.0,826.0,37.21008403361345,18.866025166543302,12.172661870503598,4.064516129032258,5.3999999999999995,12.863849765258216,23.97070108126962,10.973262032085561,13.731225296442688,5.637546468401487,13.399628252788105,5.040000000000001,7.75,7.457800511508951,13.446009389671362,65.44,3.0,2.074074074074074,0.9629629629629629,0.9428571428571428,10.5,4.8,1.0,37.9,1.0,1.0,1.0,13.5,1.0,7.300000000000001,1.0,5.1,1.0,1.4,1.0,1.4,1.0,0.606,1.0,0.862,1.0,0.769,1.0,20.6,1.0,1.0,1.0,0.61,1.0,25.950000000000003,1.0,36.1,15.6,11.7,41.0,82.0
missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,0.0,671.0,0.0,671.0,0.0,671.0,0.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,671.0,0.0,0.0,0.0,0.0,0.0,671.0,0.0,671.0,671.0,671.0,671.0,671.0
missing_pct,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.60586835844568,0.0,26.60586835844568,0.0,26.60586835844568,0.0,26.60586835844568,0.0,26.60586835844568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.60586835844568,0.0,0.0,0.0,0.0,0.0,26.60586835844568,0.0,26.60586835844568,26.60586835844568,26.60586835844568,26.60586835844568,26.60586835844568
